app,policy_area,metric,period,value
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2019Q4,"2,200,000"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2020Q1,"1,400,000"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2020Q2,"1,300,000"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2020Q3,"1,100,000"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2020Q4,"1,300,000"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2021Q1,"1,900,000"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2021Q2,"1,500,000"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2021Q3,"1,100,000"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2021Q4,"1,500,000"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2022Q1,"1,200,000"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2022Q2,"1,600,000"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2022Q3,"1,400,000"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2022Q4,"1,600,000"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2023Q1,"1,300,000"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2023Q2,"876,800"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2023Q3,"765,500"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2023Q4,"2,300,000"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2024Q1,"3,300,000"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2024Q2,"1,900,000"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2024Q3,"1,300,000"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2024Q4,"1,800,000"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2025Q1,"1,300,000"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2025Q2,"1,100,000"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2025Q3,"890,300"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2025Q4,"2,200,000"
Facebook,Spam,Content Actioned,2017Q4,"727,000,000"
Facebook,Spam,Content Actioned,2018Q1,"836,000,000"
