Table 3,ANZSOC Division,ANZSOC Subdivision,Year Month,Proceedings,Age Group,Age Group 5Yr Band,ANZSOC Group,ANZSOC_DIVISION_CD,ANZSOC_GROUP_CD,ANZSOC_SUBDIVISION_CD,Ethnic Group,Ethnicity,Method of Proceeding,Months Ago,Mop Division,Mop Group,Mop Subdivision,Number of Records,Person/Organisation,SEX,Ytd Month
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2025,2,45-49,45 - 49 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-11,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2019,1,50-54,50 - 54 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-83,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2020,1,50-54,50 - 54 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-71,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2019,1,55-59,55 - 59 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-83,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2022,1,55-59,55 - 59 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-47,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2025,1,55-59,55 - 59 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-11,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2017,1,60-64,60 - 64 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2018,1,60-64,60 - 64 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-95,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2019,1,60-64,60 - 64 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-83,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2017,1,65-69,65 - 69 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2022,1,65-69,65 - 69 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-47,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2022,1,75-79,75 - 79 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-47,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2025,1,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-10,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2025,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-10,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2025,1,25-29,25 - 29 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-10,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2025,1,35-39,35 - 39 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-10,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2025,2,35-39,35 - 39 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-10,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2019,1,25-29,25 - 29 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-81,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2017,1,35-39,35 - 39 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2018,1,35-39,35 - 39 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-93,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2019,1,35-39,35 - 39 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-81,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2019,1,40-44,40 - 44 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-81,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2017,1,45-49,45 - 49 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2017,1,50-54,50 - 54 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2018,1,50-54,50 - 54 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-93,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2019,1,60-64,60 - 64 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-81,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2018,1,70-74,70 - 74 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-93,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2017,1,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2018,1,20-24,20 - 24 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-92,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2017,1,25-29,25 - 29 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2019,1,25-29,25 - 29 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-80,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2018,1,35-39,35 - 39 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-92,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2017,2,40-44,40 - 44 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2017,2,45-49,45 - 49 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2018,2,50-54,50 - 54 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-92,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2017,1,55-59,55 - 59 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2018,1,60-64,60 - 64 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-92,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2019,1,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-79,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2018,1,35-39,35 - 39 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-91,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2017,1,40-44,40 - 44 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2018,2,40-44,40 - 44 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-91,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2017,1,50-54,50 - 54 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2019,1,50-54,50 - 54 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-79,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2018,1,65-69,65 - 69 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-91,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2019,1,65-69,65 - 69 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-79,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2021,1,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-54,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2022,1,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-42,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2022,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-42,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2019,1,20-24,20 - 24 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-78,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2020,1,20-24,20 - 24 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-66,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2017,1,25-29,25 - 29 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2019,1,25-29,25 - 29 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-78,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2019,1,25-29,25 - 29 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-78,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2020,4,25-29,25 - 29 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-66,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2021,2,25-29,25 - 29 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-54,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2019,1,30-34,30 - 34 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-78,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2020,3,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-66,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2021,2,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-54,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2022,1,30-34,30 - 34 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-42,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2022,1,35-39,35 - 39 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-42,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2017,1,40-44,40 - 44 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
