rank,c2020,a2020,c2021,a2021,c2022,a2022,c2023,a2023,c2024,a2024
51,0.00046944238217366406,0.0014404836417991301,0.0006092073980434239,0.0015380978374805834,0.0010560281607509534,0.0029688868938289427,0.0011412080922226433,0.002969986148277764,0.0007025639759911466,0.0021059842159053092
52,0.0004741784478555385,0.0014538026749224288,0.0006274972019618496,0.0015657685418310723,0.0011177397100495306,0.0030272620438423713,0.0012247135901592183,0.0030051458685348025,0.0007199354937797573,0.0021686053051660583
53,0.0005409499080385157,0.0014779152599436662,0.0006675344614665732,0.0015720961212665303,0.001184544925659745,0.003074639855797472,0.0012532256272969767,0.0030116683324957127,0.0007553716250119157,0.0022227853278386084
54,0.000618007796406047,0.001507621721498487,0.0006941560507045634,0.0015780856366471216,0.0011864230767942346,0.003079109103132479,0.0014705820935340772,0.003094029909851348,0.000792238262300445,0.002223996274287258
55,0.0006272683069665734,0.001515543719495894,0.0007066886543114,0.0015816626308141,0.0012208459445023781,0.0031037572537529973,0.0014905020645577492,0.0031413679291565815,0.0008019294656548788,0.002232957491645077
56,0.0006433058351623402,0.0015171184716633137,0.0007866697064519443,0.0016014435128814076,0.0012327541342543543,0.0031538175538728115,0.001519745063874789,0.003159484776423546,0.000838583737584379,0.002240097813218586
57,0.0006502827143752131,0.0015297521840859827,0.0007880601938299894,0.0016160697473338644,0.0012532372252238061,0.003389342995979087,0.001540906038646321,0.0032311592783219757,0.0008645533141210375,0.002266983321800181
58,0.0006505811097251758,0.0015338696826138166,0.0008151307789033335,0.0016673402268434976,0.0012747764451676818,0.0034293425407370174,0.0015475909584523459,0.0032950602589226115,0.0008780785934706957,0.002276203656493554
59,0.00067067351097583,0.001553177087556077,0.000824621592865714,0.0016688763548704923,0.001282051282051282,0.00355959804517029,0.0015778089470216015,0.0032972721667364592,0.0009534963078858729,0.002295147254094722
60,0.0006780548153787591,0.0015593593399120687,0.0008272007609173875,0.0016753146633555047,0.0013209378052438335,0.0036008458185663246,0.0016174878688409837,0.0032987930298443743,0.0010149326350695495,0.002386958142321919
61,0.0006920622916085197,0.00156615549285321,0.0008320007995202878,0.0016774209667747737,0.0013403559873650008,0.0036143490109907315,0.0016526723137597463,0.0032993346810484482,0.001018228616190155,0.002475682266937765
62,0.0007011476563567228,0.0015729352547022082,0.0008361204013377926,0.001683680455613712,0.0013548996049337543,0.0036837808417311837,0.0016892593566968056,0.003402020498930411,0.0010197771721432258,0.0024785199205986028
63,0.0007017175235823337,0.0015833769405711976,0.0008453164561479263,0.0016977282706599145,0.0013784011379879856,0.0036886360896412978,0.0017046967948148805,0.003414524881545254,0.0010598497487453987,0.0025538548162539728
64,0.0007458745457950139,0.0015910374799763252,0.0008484773523859855,0.0017131625370696052,0.0014268352935163469,0.003740608267791642,0.0017133115686377759,0.0034359394708740124,0.001137548170364025,0.002571582019397527
65,0.0007643528479220926,0.0015923072986030835,0.0008973103335050583,0.0017131645383979491,0.0015492672174017021,0.0037590391274030196,0.0017140279657194407,0.003459284933463009,0.0011537496864810635,0.002583175624284953
66,0.0007959052388793173,0.0016097102795890432,0.0009522554203263622,0.0017146511799372094,0.0015689088696117127,0.003862543621290546,0.0017318663406682966,0.0034635664184320767,0.001169331058500102,0.002657133025561057
67,0.0007991519115626919,0.001627996285183727,0.0009925788706935082,0.0017399540407392455,0.0015841346323358639,0.003894748067817167,0.001746109095066847,0.0034851835544288993,0.001218860258740511,0.002717393919925597
68,0.0008542760398869249,0.0016561510695542677,0.0010058434879530991,0.0017601259195900562,0.0016188096991847278,0.003902619361619235,0.0017670686888967557,0.0035394989672118036,0.0012227430201752598,0.0027197676221564424
69,0.0008663887978270032,0.001678401251689069,0.001028556369282615,0.0017827602605978178,0.0016251229238739458,0.003924527413314548,0.001802869137455894,0.003555492139564607,0.001241354850150736,0.0027441392046935755
70,0.000891805063590357,0.0016949276699870335,0.0010750266197067737,0.0017965568209894307,0.0016434677227222954,0.003953736971384633,0.0018172566693319765,0.003561268986015282,0.00129366106080207,0.002803547201840007
71,0.0009114709589838068,0.0017065483739843001,0.0010880878039549627,0.001797471805156843,0.0017319016279875303,0.004094135011821453,0.0018451595632803686,0.003576389333199725,0.0013200570605310035,0.0028157657570133565
72,0.0009211185079893924,0.0017143945695939724,0.0010970795378153157,0.0018192739792734292,0.0017467248908296944,0.004116683157943279,0.001893899539151112,0.003617312910300702,0.0014116060484798453,0.0028309079086037176
73,0.0009378689988772161,0.0017256793361410498,0.0011424769542509774,0.0018444506380930726,0.0018418848047372588,0.004182123946433762,0.0019057437868066295,0.0036180030794195537,0.001479355922627455,0.0028423161930827283
74,0.0009615384615384616,0.0017595649506487031,0.001188975816231898,0.001851179405702082,0.0018574930857771035,0.004235876245186094,0.002010689270894315,0.003633736467749111,0.0014915511468189683,0.002924431453708965
75,0.001027526756258514,0.0017806267806267807,0.0012087825287098591,0.0018536142926882688,0.0019161786798295368,0.004263371511570471,0.0020228671943711522,0.0036416284811573514,0.001541543962070246,0.002971122882291674
76,0.0010414975144947816,0.0017966256757843571,0.0012144868845171387,0.0018745355584838237,0.0019578765657940075,0.004313998883263259,0.002025508495434536,0.0036510795523679454,0.001551685482506809,0.0029852909967509273
77,0.0010468117454476864,0.0018280872987861164,0.0012388771685520304,0.0018788854697191295,0.001960593558004171,0.004342113698684365,0.002052792801779614,0.0036564951139335077,0.001552465666621632,0.0029861461497535827
78,0.0010649222226448104,0.001849432572568049,0.0012551548362216185,0.0018997186823544127,0.001988466892026248,0.0044597695029957845,0.0021051837319852108,0.0036929010962413445,0.0015700702409402261,0.0029967486281965846
79,0.0010846113142085514,0.0018727661036811753,0.0012556861936784127,0.001930452605969073,0.0020100734124901096,0.004466886618171335,0.002148647069447248,0.003786270105055579,0.0015868077162414437,0.0030350974331313837
